iunix,LAT,LON,DATE,DOY,TIME,FLT,PSX,PSY,WGSHGT,FX,FY,FZ,EOTGRAV,FACOR,INTCOR,FAG070,FAG100,FAG140,FLTENVIRO,FLTENVIRO,DATETIME,UNIX,THICK,ELEVATION,FRAME,SURFACE_radar,BOTTOM,QUALITY,SURFACE_atm,DAY,HOUR,ICEBASE,TOPOGRAPHY
2009-10-31 16:18:29.500,-70.6098932,-63.9806496,2009-10-31,304,58709.5,11,-1910799.93,932758.37,1831.69,-101816.37,-191174.23,982885.38,-972.88,564.61,0.0,-4.24,0.11,0.99,1,,2.00910315871e+12,1257005909.5,1501.28166667,1833.59941667,2.00910310202e+12,574.195,2075.475,1.0,1267.25715,31,16,-241.875583333,1259.40441667
2009-10-31 16:18:30.000,-70.6095068,-63.9790764,2009-10-31,304,58710.0,11,-1910813.1,932829.77,1829.01,-99746.86,-191705.06,978164.86,-1031.2,563.78,0.0,-4.69,-0.34,0.62,1,,2.00910315871e+12,1257005910.0,1529.75833333,1831.44243333,2.00910310202e+12,572.046666667,2101.80666667,1.0,1267.13295,31,16,-270.364233333,1259.39576667
2009-10-31 16:18:30.500,-70.6091165,-63.9775119,2009-10-31,304,58710.5,11,-1910826.8,932901.07,1826.32,-100094.59,-196412.55,975842.34,-900.24,562.96,0.0,-5.13,-0.78,0.26,1,,2.00910315871e+12,1257005910.5,1553.98,1829.2854,2.00910310202e+12,569.901666667,2123.88333333,1.0,1266.90915,31,16,-294.597933333,1259.38373333
2009-10-31 16:18:31.000,-70.6087222,-63.975957,2009-10-31,304,58711.0,11,-1910841.06,932972.25,1823.62,-102251.74,-204739.74,976763.87,-638.66,562.12,0.0,-5.56,-1.23,-0.11,1,,2.00910315871e+12,1257005911.0,1566.78333333,1827.12818333,2.00910310202e+12,567.753333333,2134.535,1.0,1266.679,31,16,-307.406816667,1259.37485
2009-10-31 16:18:31.500,-70.6083239,-63.9744117,2009-10-31,304,58711.5,11,-1910855.88,933043.31,1820.91,-105254.52,-215531.3,980299.57,-349.24,561.29,0.0,-5.98,-1.67,-0.48,1,,2.00910315871e+12,1257005911.5,1578.23,1825.15052,2.00910310202e+12,565.786,2144.016,1.0,1266.3808,31,16,-318.86548,1259.36452
2009-10-31 16:18:32.000,-70.6079213,-63.9728766,2009-10-31,304,58712.0,11,-1910871.29,933114.24,1818.19,-108113.61,-227343.58,984685.5,-138.26,560.45,0.0,-6.4,-2.1,-0.84,1,,2.00910315871e+12,1257005912.0,1590.395,1823.17318333,2.00910310202e+12,563.816666667,2154.21333333,1.0,1265.98585,31,16,-331.04015,1259.35651667
2009-10-31 16:18:32.500,-70.6075143,-63.9713524,2009-10-31,304,58712.5,11,-1910887.31,933185.02,1815.49,-110080.87,-238728.21,987861.49,-80.0,559.62,0.0,-6.8,-2.54,-1.2,1,,2.00910315871e+12,1257005912.5,1602.22333333,1821.01636667,2.00910310202e+12,561.671666667,2163.895,1.0,1265.4707,31,16,-342.878633333,1259.3447
2009-10-31 16:18:33.000,-70.6071028,-63.9698398,2009-10-31,304,58713.0,11,-1910903.98,933255.64,1812.8,-110780.89,-248463.31,988406.23,-194.59,558.79,0.0,-7.2,-2.97,-1.56,1,,2.00910315871e+12,1257005913.0,1613.95666667,1818.85973333,2.00910310202e+12,559.525,2173.48166667,1.0,1264.8473,31,16,-354.621933333,1259.33473333
2009-10-31 16:18:33.500,-70.6066866,-63.9683394,2009-10-31,304,58713.5,11,-1910921.31,933326.08,1810.12,-110203.7,-255744.68,986138.32,-442.15,557.96,0.0,-7.59,-3.4,-1.92,1,,2.00910315871e+12,1257005913.5,1619.03,1816.70396667,2.00910310202e+12,557.376666667,2176.40833333,1.0,1264.13035,31,16,-359.704366667,1259.3273
2009-10-31 16:18:34.000,-70.6062656,-63.9668516,2009-10-31,304,58714.0,11,-1910939.33,933396.34,1807.46,-108605.36,-260339.2,982116.43,-733.8,557.14,0.0,-7.97,-3.83,-2.28,1,,2.00910315871e+12,1257005914.0,1615.35833333,1814.5493,2.00910310202e+12,555.23,2170.58833333,1.0,1263.37535,31,16,-356.039033333,1259.3193
2009-10-31 16:18:34.500,-70.6058399,-63.9653764,2009-10-31,304,58714.5,11,-1910958.02,933466.41,1804.8,-106377.74,-262659.21,978057.54,-959.73,556.33,0.0,-8.33,-4.26,-2.63,1,,2.00910315871e+12,1257005914.5,1614.19833333,1812.3956,2.00910310202e+12,553.083333333,2167.28333333,1.0,1262.5738,31,16,-354.887733333,1259.31226667
2009-10-31 16:18:35.000,-70.6054096,-63.9639147,2009-10-31,304,58715.0,11,-1910977.39,933536.26,1802.13,-103930.36,-263682.17,975468.06,-1029.4,555.5,0.0,-8.69,-4.68,-2.99,1,,2.00910315872e+12,1257005915.0,1623.23,1810.24365,2.00910310202e+12,550.936666667,2174.16666667,1.0,1261.6784,31,16,-363.923016667,1259.30698333
2009-10-31 16:18:35.500,-70.6049745,-63.9624661,2009-10-31,304,58715.5,11,-1910997.46,933605.91,1799.45,-101596.97,-264658.55,974919.77,-911.82,554.68,0.0,-9.04,-5.1,-3.34,1,,2.00910315872e+12,1257005915.5,1611.368,1808.27256,2.00910310202e+12,548.968,2160.338,1.0,1260.6973,31,16,-352.06544,1259.30456
2009-10-31 16:18:36.000,-70.6045348,-63.9610311,2009-10-31,304,58716.0,11,-1911018.21,933675.33,1796.76,-99559.86,-266634.09,975830.97,-656.9,553.85,0.0,-9.39,-5.51,-3.69,1,,2.00910315872e+12,1257005916.0,1597.81333333,1806.30276667,2.00910310202e+12,547.0,2144.81166667,1.0,1259.6758,31,16,-338.5089,1259.30276667
2009-10-31 16:18:36.500,-70.6040905,-63.9596093,2009-10-31,304,58716.5,11,-1911039.63,933744.54,1794.05,-97787.11,-269925.67,976861.41,-381.81,553.01,0.0,-9.72,-5.93,-4.04,1,,2.00910315872e+12,1257005916.5,1589.49166667,1804.15591667,2.00910310202e+12,544.853333333,2134.345,1.0,1258.5858,31,16,-330.189083333,1259.30258333
2009-10-31 16:18:37.000,-70.6036417,-63.9582017,2009-10-31,304,58717.0,11,-1911061.73,933813.5,1791.33,-95997.36,-273768.52,976714.11,-220.84,552.17,0.0,-10.04,-6.34,-4.38,1,,2.00910315872e+12,1257005917.0,1578.795,1802.01151667,2.00910310202e+12,542.706666667,2121.50166667,1.0,1257.43095,31,16,-319.49015,1259.30485
2009-10-31 16:18:37.500,-70.6031882,-63.9568078,2009-10-31,304,58717.5,11,-1911084.52,933882.23,1788.6,-93682.88,-276336.13,974915.62,-257.92,551.33,0.0,-10.36,-6.74,-4.73,1,,2.00910315872e+12,1257005917.5,1567.12833333,1799.86926667,2.00910310202e+12,540.558333333,2107.68833333,1.0,1256.17715,31,16,-307.819066667,1259.31093333
2009-10-31 16:18:38.000,-70.6027302,-63.9554284,2009-10-31,304,58718.0,11,-1911108.0,933950.7,1785.85,-90216.98,-275207.72,972138.63,-476.52,550.49,0.0,-10.66,-7.15,-5.07,1,,2.00910315872e+12,1257005918.0,1561.13333333,1797.72978333,2.00910310202e+12,538.413333333,2099.54666667,1.0,1254.88045,31,16,-301.816883333,1259.31645
2009-10-31 16:18:38.500,-70.6022678,-63.9540635,2009-10-31,304,58718.5,11,-1911132.16,934018.91,1783.08,-85041.29,-268165.78,969857.3,-758.35,549.63,0.0,-10.96,-7.55,-5.41,1,,2.00910315872e+12,1257005918.5,1555.565,1795.5936,2.00910310202e+12,536.26,2091.825,1.0,1253.46545,31,16,-296.2314,1259.3336
2009-10-31 16:18:39.000,-70.6018009,-63.9527125,2009-10-31,304,58719.0,11,-1911156.99,934086.87,1780.28,-77883.06,-254037.47,969483.47,-939.59,548.77,0.0,-11.25,-7.95,-5.75,1,,2.00910315872e+12,1257005919.0,1560.07833333,1793.46035,2.00910310202e+12,533.975,2094.05,1.0,1251.98825,31,16,-300.58965,1259.48535
2009-10-31 16:18:39.500,-70.60133,-63.9513748,2009-10-31,304,58719.5,11,-1911182.44,934154.59,1777.46,-68920.18,-233237.04,971438.62,-900.35,547.9,0.0,-11.53,-8.34,-6.09,1,,2.00910315872e+12,1257005919.5,1570.626,1791.5076,2.00910310202e+12,531.82,2102.45,1.0,1250.44725,31,16,-310.9424,1259.6876
2009-10-31 16:18:40.000,-70.6008555,-63.9500496,2009-10-31,304,58720.0,11,-1911208.45,934222.07,1774.6,-58812.45,-207762.07,974701.65,-639.39,547.02,0.0,-11.8,-8.73,-6.42,1,,2.00910315872e+12,1257005920.0,1578.43666667,1789.55783333,2.00910310202e+12,529.675,2108.11333333,1.0,1248.87235,31,16,-318.5555,1259.88283333
2009-10-31 16:18:40.500,-70.6003777,-63.9487356,2009-10-31,304,58720.5,11,-1911234.97,934289.34,1771.73,-48560.79,-180612.69,977167.37,-288.51,546.14,0.0,-12.06,-9.12,-6.75,1,,2.00910315872e+12,1257005920.5,1584.69833333,1787.43336667,2.00910310202e+12,527.335,2112.025,1.0,1247.18825,31,16,-324.591633333,1260.09836667
2009-10-31 16:18:41.000,-70.5998972,-63.9474313,2009-10-31,304,58721.0,11,-1911261.92,934356.42,1768.86,-39224.85,-154843.57,976738.89,-51.26,545.25,0.0,-12.31,-9.5,-7.08,1,,2.00910315872e+12,1257005921.0,1586.85666667,1785.31178333,2.00910310202e+12,524.986666667,2111.845,1.0,1245.40695,31,16,-326.533216667,1260.32511667
2009-10-31 16:18:41.500,-70.5994144,-63.9461358,2009-10-31,304,58721.5,11,-1911289.24,934423.32,1765.96,-31594.06,-132614.51,972661.81,-93.33,544.36,0.0,-12.56,-9.88,-7.41,1,,2.00910315872e+12,1257005921.5,1589.48833333,1783.19303333,2.00910310202e+12,522.645,2112.135,1.0,1243.5338,31,16,-328.941966667,1260.54803333
2009-10-31 16:18:42.000,-70.5989296,-63.9448473,2009-10-31,304,58722.0,11,-1911316.88,934490.09,1763.05,-25934.59,-114603.82,966412.37,-443.78,543.46,0.0,-12.8,-10.25,-7.74,1,,2.00910315872e+12,1257005922.0,1592.82333333,1781.07661667,2.00910310202e+12,520.605,2113.42666667,1.0,1241.613,31,16,-332.35005,1260.47161667
2009-10-31 16:18:42.500,-70.5984432,-63.9435653,2009-10-31,304,58722.5,11,-1911344.78,934556.72,1760.1,-21910.96,-99992.01,961600.19,-964.78,542.55,0.0,-13.03,-10.63,-8.06,1,,2.00910315872e+12,1257005922.5,1594.73166667,1778.96248333,2.00910310202e+12,519.915,2114.64166667,1.0,1239.70085,31,16,-335.679183333,1259.04748333
