iunix,LAT,LON,DATE,DOY,TIME,FLT,PSX,PSY,WGSHGT,FX,FY,FZ,EOTGRAV,FACOR,INTCOR,FAG070,FAG100,FAG140,FLTENVIRO,FLTENVIRO,DATETIME,UNIX,THICK,ELEVATION,FRAME,SURFACE_radar,BOTTOM,QUALITY,SURFACE_atm,DAY,HOUR,ICEBASE,TOPOGRAPHY
2009-10-31 16:35:19.000,-69.9890718,-62.0865988,2009-10-31,304,59719.0,11,-1940258.94,1027895.34,598.33,-33457.66,75050.46,978767.44,-380.13,184.49,0.0,-33.05,-32.84,-31.87,1,,2.00910315972e+12,1257006919.0,,595.48154,2.00910310202e+12,589.25,,1.0,,31,16,,6.23154
2009-10-31 16:35:19.500,-69.9885182,-62.0870418,2009-10-31,304,59719.5,11,-1940321.63,1027909.34,596.8,-34339.98,75931.84,981699.52,-510.6,184.02,0.0,-33.18,-32.95,-32.02,1,,2.00910315972e+12,1257006919.5,,594.08214,2.00910310202e+12,587.244,,1.0,15.16825,31,16,,6.83814
2009-10-31 16:35:20.000,-69.9879646,-62.0874796,2009-10-31,304,59720.0,11,-1940384.22,1027923.51,595.27,-34987.72,76725.12,984953.85,-521.49,183.54,0.0,-33.31,-33.06,-32.18,1,,2.00910315972e+12,1257006920.0,,592.68462,2.00910310202e+12,585.24,,1.0,14.3983,31,16,,7.44462
2009-10-31 16:35:20.500,-69.987411,-62.0879116,2009-10-31,304,59720.5,11,-1940446.71,1027937.88,593.74,-35190.06,77187.36,987529.23,-370.9,183.07,0.0,-33.43,-33.17,-32.32,1,,2.00910315972e+12,1257006920.5,,591.14945,2.00910310202e+12,583.03,,1.0,,31,16,,8.11945
2009-10-31 16:35:21.000,-69.9868572,-62.0883384,2009-10-31,304,59721.0,11,-1940509.13,1027952.43,592.23,-34504.75,76701.6,988553.95,-101.89,182.61,0.0,-33.55,-33.28,-32.47,1,,2.00910315972e+12,1257006921.0,,589.61618,2.00910310202e+12,580.824,,1.0,,31,16,,8.79218
2009-10-31 16:35:21.500,-69.9863037,-62.08876,2009-10-31,304,59721.5,11,-1940571.43,1027967.15,590.74,-32569.63,74686.08,987596.78,175.34,182.15,0.0,-33.67,-33.38,-32.62,1,,2.00910315972e+12,1257006921.5,,588.22436,2.00910310202e+12,578.818,,1.0,,31,16,,9.40636
2009-10-31 16:35:22.000,-69.98575,-62.0891761,2009-10-31,304,59722.0,11,-1940633.65,1027982.06,589.25,-29398.08,71016.1,984805.82,335.43,181.69,0.0,-33.78,-33.48,-32.77,1,,2.00910315972e+12,1257006922.0,,586.83448,2.00910310202e+12,576.81,,1.0,,31,16,,10.02448
2009-10-31 16:35:22.500,-69.9851964,-62.0895873,2009-10-31,304,59722.5,11,-1940695.77,1027997.13,587.78,-25493.94,66227.63,980836.78,297.73,181.24,0.0,-33.89,-33.59,-32.91,1,,2.00910315972e+12,1257006922.5,,585.44622,2.00910310202e+12,574.804,,1.0,,31,16,,10.64222
2009-10-31 16:35:23.000,-69.9846428,-62.089994,2009-10-31,304,59723.0,11,-1940757.81,1028012.35,586.29,-21705.79,61372.63,976625.56,65.3,180.78,0.0,-34.0,-33.69,-33.05,1,,2.00910315972e+12,1257006923.0,,584.05976,2.00910310202e+12,572.798,,1.0,,31,16,,11.26176
2009-10-31 16:35:23.500,-69.9840893,-62.0903968,2009-10-31,304,59723.5,11,-1940819.77,1028027.7,584.79,-18868.23,57566.79,973112.14,-274.48,180.31,0.0,-34.11,-33.78,-33.19,1,,2.00910315972e+12,1257006923.5,,582.536883333,2.00910310202e+12,570.59,,1.0,,31,16,,11.9468833333
2009-10-31 16:35:24.000,-69.9835359,-62.0907952,2009-10-31,304,59724.0,11,-1940881.64,1028043.19,583.27,-17387.93,55428.25,971013.84,-587.07,179.84,0.0,-34.21,-33.88,-33.33,1,,2.00910315972e+12,1257006924.0,,581.01584,2.00910310202e+12,568.382,,1.0,,31,16,,12.63384
2009-10-31 16:35:24.500,-69.9829827,-62.0911904,2009-10-31,304,59724.5,11,-1940943.44,1028058.78,581.73,-16970.11,54673.21,970693.18,-748.37,179.37,0.0,-34.31,-33.98,-33.47,1,,2.00910315972e+12,1257006924.5,,579.63502,2.00910310202e+12,566.378,,1.0,,31,16,,13.25702
2009-10-31 16:35:25.000,-69.9824296,-62.0915817,2009-10-31,304,59725.0,11,-1941005.15,1028074.49,580.15,-16627.19,54075.42,972110.91,-697.52,178.88,0.0,-34.41,-34.07,-33.61,1,,2.00910315972e+12,1257006925.0,,578.25604,2.00910310202e+12,564.37,,1.0,,31,16,,13.88604
2009-10-31 16:35:25.500,-69.9818766,-62.0919694,2009-10-31,304,59725.5,11,-1941066.79,1028090.32,578.55,-14989.1,51838.65,974832.74,-462.33,178.39,0.0,-34.5,-34.16,-33.74,1,,2.00910315973e+12,1257006925.5,,576.87858,2.00910310202e+12,562.362,,1.0,,31,16,,14.51658
2009-10-31 16:35:26.000,-69.981324,-62.0923538,2009-10-31,304,59726.0,11,-1941128.34,1028106.24,576.93,-10800.25,46245.76,978078.38,-147.19,177.89,0.0,-34.59,-34.25,-33.87,1,,2.00910315973e+12,1257006926.0,,575.50288,2.00910310202e+12,560.358,,1.0,35.9664,31,16,,15.14488
